fuel_flow,power
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
2.55E-02,300
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
2.55E-02,300
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
2.55E-02,300
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
3.37E-02,400
2.49E-02,293.9115631
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
1.74E-02,200
